MatingScore	Generation
0.125	P
0.125	P
0.5	P
0.125	P
0.125	P
0.125	P
0	P
0	P
0	P
0.125	P
0	P
0	P
0	P
0	P
0.25	P
0.125	P
0	P
0	P
0.25	P
0	P
0	P
0	P
0	P
0	P
0	P
0.25	P
0.25	P
0.125	P
0.125	P
0.125	P
0.125	P
0	P
0.375	P
0.125	P
0	P
0	P
0.375	P
0.125	P
0.125	P
0.25	P
0	P
0	P
0	P
0.125	P
0.125	P
0	P
0.25	P
0	P
0	P
0.125	P
0.125	P
0.125	P
0	P
0	P
0	P
0	P
0	P
0	P
0	P
0.5	P
0	P
0	P
0	P
0	P
0	P
0	P
0.125	P
0.125	P
0	P
0.125	P
0	P
0	P
0	P
0	P
0	P
0	P
0	P
0	P
0	P
0	P
0.25	P
0.375	P
0	P
0.125	P
0.125	P
0.25	P
0	P
0.125	P
0	P
0.125	P
0	P
0.125	P
0	P
0	P
0	P
0.125	P
0.125	P
0.166666667	P
0	P
0	P
0	P
0.125	P
0	P
0	P
0.125	P
0	P
0	P
0.125	P
0.2	P
0	P
0	P
0.25	P
0.142857143	P
0.142857143	P
0.125	P
0.125	P
0.25	P
0.142857143	P
0	P
0	P
0.125	P
0.25	P
0	P
0.25	P
0.125	P
0.375	P
0	P
0	P
0.25	P
0	P
0	P
0.25	P
0	P
0.142857143	P
0.142857143	P
0	P
0.5	P
0.125	P
0.5	P
0	P
0.125	P
0	P
0.125	P
0.125	P
0.125	P
0	P
0.125	P
0.125	P
0	P
0	P
0.25	P
0.142857143	P
0	P
0.25	P
0.25	P
0	P
0	P
0.25	P
0	P
0	F
0.125	F
0.125	F
0	F
0	F
0	F
0	F
0.25	F
0.125	F
0.125	F
NA	F
0	F
0	F
0	F
0.125	F
0.125	F
0.125	F
0	F
0	F
0	F
0.125	F
0	F
0	F
0	F
0	F
0	F
0	F
0	F
0.125	F
0	F
0	F
0	F
0.125	F
0.125	F
0.125	F
0.125	F
0	F
0	F
0	F
0.25	F
0	F
0	F
0	F
0	F
NA	F
0.25	F
0.125	F
0	F
0	F
0	F
0	F
0	F
0	F
NA	F
0	F
0.25	F
0.125	F
0.125	F
0	F
0.125	F
NA	F
NA	F
0.125	F
NA	F
NA	F
0	F
0	F
0.375	F
NA	F
NA	F
0	F
0	F
0.125	F
0	F
0	F
0.125	F
NA	F
0	F
NA	F
0	F
0	F
0	F
0	F
0	F
0	F
0	F
0	F
0	F
NA	F
0	F
0	F
0.125	F
NA	F
NA	F
0	F
0.375	F
0.375	F
0.25	F
0.25	F
NA	F
NA	F
0.125	F
0.125	F
0.25	F
0	F
0.125	F
NA	F
0.125	F
NA	F
NA	F
NA	F
0.375	F
NA	F
NA	F
0.125	F
0.375	F
0.5	F
0.375	F
0.125	F
NA	F
0.375	F
0.375	F
NA	F
0.125	F
NA	F
0	F
0.428571429	F
0.25	F
0.125	F
0.25	F
NA	F
0	F
0.5	F
0.285714286	F
0.25	F
NA	F
0.125	F
0.375	F
0.125	F
0.125	F
0.25	F
NA	F
0	F
NA	F
0	F
NA	F
0.25	F
0.25	F
0.125	F
0.25	F
0	F
NA	F
0	F
NA	F
0.125	F
0	F
0.125	F
NA	F
0.125	F
