replicate	Cage_ID	P1_scores	F1_scores	P1_proportions	F1_proportions	P1_status	F1_status	F_Females	P_Females
1	1	1	0	0.125	0	mated	unmated	8	8
1	2	1	1	0.125	0.125	mated	mated	8	8
1	3	4	1	0.5	0.125	mated	mated	8	8
1	4	1	0	0.125	0	mated	unmated	8	8
1	5	1	0	0.125	0	mated	unmated	8	8
1	6	1	0	0.125	0	mated	unmated	8	8
1	7	0	0	0	0	unmated	unmated	8	8
1	8	0	2	0	0.25	unmated	mated	8	8
1	9	0	1	0	0.125	unmated	mated	8	8
1	10	1	1	0.125	0.125	mated	mated	8	8
1	11	0	NA	0	NA	unmated	unmated	8	8
1	12	0	0	0	0	unmated	unmated	8	8
1	13	0	0	0	0	unmated	unmated	8	8
1	14	0	0	0	0	unmated	unmated	8	8
1	15	2	1	0.25	0.125	mated	mated	8	8
1	16	1	1	0.125	0.125	mated	mated	8	8
1	17	0	1	0	0.125	unmated	mated	8	8
1	18	0	0	0	0	unmated	unmated	8	8
1	19	2	0	0.25	0	mated	unmated	8	8
1	20	0	0	0	0	unmated	unmated	8	8
1	21	0	1	0	0.125	unmated	mated	8	8
1	22	0	0	0	0	unmated	unmated	8	8
1	23	0	0	0	0	unmated	unmated	8	8
1	24	0	0	0	0	unmated	unmated	8	8
1	25	0	0	0	0	unmated	unmated	8	8
1	26	2	0	0.25	0	mated	unmated	8	8
1	27	2	0	0.25	0	mated	unmated	8	8
1	28	1	0	0.125	0	mated	unmated	8	8
1	29	1	1	0.125	0.142857143	mated	mated	8	8
1	30	1	0	0.125	0	mated	unmated	8	8
1	31	1	0	0.125	0	mated	unmated	8	8
1	32	0	0	0	0	unmated	unmated	8	8
1	33	3	1	0.375	0.125	mated	mated	8	8
1	34	1	1	0.125	0.125	mated	mated	8	8
1	35	0	1	0	0.125	unmated	mated	8	8
1	36	0	1	0	0.125	unmated	mated	8	8
1	37	3	0	0.428571429	0	mated	unmated	8	8
1	38	1	0	0.125	0	mated	unmated	8	8
1	39	1	0	0.125	0	mated	unmated	8	8
1	40	2	2	0.25	0.25	mated	mated	8	8
1	41	0	0	0	0	unmated	unmated	8	8
1	42	0	0	0	0	unmated	unmated	8	8
1	43	0	0	0	0	unmated	unmated	8	8
1	44	1	0	0.125	0	mated	unmated	8	8
1	45	1	NA	0.125	NA	mated	unmated	8	8
1	46	0	2	0	0.25	unmated	mated	8	8
1	47	2	1	0.25	0.125	mated	mated	8	8
1	48	0	0	0	0	unmated	unmated	8	8
1	49	0	0	0	0	unmated	unmated	8	8
1	50	1	0	0.125	0	mated	unmated	8	8
1	51	1	0	0.142857143	0	mated	unmated	8	8
1	52	1	0	0.125	0	mated	unmated	8	8
2	1	0	0	0	0	unmated	unmated	8	8
2	2	0	NA	0	NA	unmated	unmated	8	8
2	3	0	0	0	0	unmated	unmated	8	8
2	4	0	2	0	0.25	unmated	mated	8	8
2	5	0	1	0	0.125	unmated	mated	8	8
2	6	0	1	0	0.125	unmated	mated	8	8
2	7	0	0	0	0	unmated	unmated	8	8
2	8	4	1	0.5	0.142857143	mated	mated	8	8
2	9	0	NA	0	NA	unmated	unmated	8	8
2	10	0	NA	0	NA	unmated	unmated	8	8
2	11	0	1	0	0.125	unmated	mated	8	8
2	12	0	NA	0	NA	unmated	unmated	8	8
2	13	0	NA	0	NA	unmated	unmated	8	8
2	14	0	0	0	0	unmated	unmated	8	8
2	15	1	0	0.066666667	0	mated	unmated	8	8
2	16	1	3	0.0625	0.375	mated	mated	8	8
2	17	0	NA	0	NA	unmated	unmated	8	8
2	18	1	NA	0.055555556	NA	mated	unmated	8	8
2	19	0	0	0	0	unmated	unmated	8	8
2	20	0	0	0	0	unmated	unmated	8	8
2	21	0	1	0	0.125	unmated	mated	8	8
2	22	0	0	0	0	unmated	unmated	8	8
2	23	0	0	0	0	unmated	unmated	8	8
2	24	0	1	0	0.125	unmated	mated	8	8
2	25	0	NA	0	NA	unmated	unmated	8	8
2	26	0	0	0	0	unmated	unmated	8	8
2	27	0	NA	0	NA	unmated	unmated	8	8
2	28	0	0	0	0	unmated	unmated	8	8
2	29	2	0	0.068965517	0	mated	unmated	8	8
2	30	3	0	0.1	0	mated	unmated	8	8
2	31	0	0	0	0	unmated	unmated	8	8
2	32	1	0	0.03125	0	mated	unmated	8	8
2	33	1	0	0.03030303	0	mated	unmated	8	8
2	34	2	0	0.058823529	0	mated	unmated	8	8
2	35	0	0	0	0	unmated	unmated	8	8
2	36	1	0	0.027777778	0	mated	unmated	8	8
2	37	0	NA	0	NA	unmated	unmated	8	8
2	38	1	0	0.026315789	0	mated	unmated	8	8
2	39	0	0	0	0	unmated	unmated	8	8
2	40	1	1	0.025	0.142857143	mated	mated	8	8
