Cage_ID 	Nofemales 	female_1		female_2		female_3		female_4		female_5		female_6		female_7		female_8		P1_scores	P1_proportions	replicate	P1_status	F1_scores	F1_proportions	replicate	F1_status	F1_Females
		mated	glowing	mated	glowing	mated	glowing	mated	glowing	mated	glowing	mated	glowing	mated	glowing	mated	glowing									
1	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	0	0	3	unmated			3	NA	
2	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	0	0	3	unmated			3	NA	
3	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	NI	NI	0	0	3	unmated	0	0	3	unmated	8
4	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	NO	1	0.125	3	mated	3	0.375	3	mated	8
5	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	NO	1	0.125	3	mated	3	0.375	3	mated	8
6	6	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	NO	/	/	/	/	1	0.166666667	3	mated	2	0.25	3	mated	8
7	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	0	0	3	unmated	2	0.333333333	3	mated	8
8	7	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	/	/	0	0	3	unmated			3	NA	
9	6	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	/	/	/	/	0	0	3	unmated			3	NA	
10	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	NO	1	0.125	3	mated	1	0.166666667	3	mated	8
11	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	NI	NI	0	0	3	unmated	1	0.125	3	mated	8
12	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	NI	NI	0	0	3	unmated	2	0.25	3	mated	8
13	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	NO	1	0.125	3	mated	0	0	3	unmated	8
14	6	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	/	/	/	/	0	0	3	unmated	1	0.125	3	mated	8
