Wt_prop	Data_type
0.125	Simulated
0.25	Simulated
0	Simulated
0.375	Simulated
0	Simulated
0	Simulated
0.25	Simulated
0.25	Simulated
0	Simulated
0	Simulated
0.125	Simulated
0	Simulated
0	Simulated
0.125	Simulated
0	Simulated
0.125	Simulated
0	Simulated
0.125	Simulated
0.375	Simulated
0.125	Simulated
0.125	Simulated
0.125	Simulated
0.125	Simulated
0.125	Simulated
0	Simulated
0	Simulated
0.125	Simulated
0.25	Simulated
0	Simulated
0	Simulated
0.25	Simulated
0.25	Simulated
0.125	Simulated
0	Simulated
0	Simulated
0.25	Simulated
0.125	Simulated
0	Simulated
0.125	Simulated
0	Simulated
0	Simulated
0	Simulated
0.125	Simulated
0	Simulated
0	Simulated
0	Simulated
0	Simulated
0	Simulated
0	Simulated
0.375	Simulated
0	Simulated
0.125	Simulated
0	Simulated
0.125	Simulated
0	Simulated
0	Simulated
0.125	Simulated
0	Simulated
0.125	Simulated
0	Simulated
0.125	Simulated
0.375	Simulated
0	Simulated
0.125	Simulated
0	Simulated
0.125	Simulated
0	Simulated
0	Simulated
0	Simulated
0.125	Simulated
0.125	Simulated
0	Simulated
0.375	Simulated
0.125	Simulated
0	Simulated
0.125	Simulated
0	Simulated
0	Simulated
0	Simulated
0.125	Simulated
0	Simulated
0.375	Simulated
0	Simulated
0	Simulated
0	Simulated
0.125	Simulated
0	Simulated
0.25	Simulated
0.125	Simulated
0	Simulated
0	Simulated
0	Simulated
0.125	Simulated
0	Simulated
0.125	Simulated
0	Simulated
0.125	Simulated
0	Simulated
0	Simulated
0.125	Simulated
0.125	Simulated
0	Simulated
0	Simulated
0	Simulated
0.25	Simulated
0.125	Simulated
0	Simulated
0	Simulated
0.375	Simulated
0	Simulated
0.25	Simulated
0.125	Simulated
0	Simulated
0	Simulated
0	Simulated
0.125	Simulated
0	Simulated
0	Simulated
0.125	Simulated
0.125	Simulated
0.125	Simulated
0.125	Simulated
0	Simulated
0	Simulated
0	Simulated
0	Simulated
0	Simulated
0	Simulated
0	Simulated
0	Simulated
0.375	Simulated
0	Simulated
0	Simulated
0.125	Simulated
0.25	Simulated
0	Simulated
0.125	Simulated
0.25	Simulated
0.125	Simulated
0.125	Simulated
0.25	Simulated
0	Simulated
0	Simulated
0.25	Simulated
0	Simulated
0	Simulated
0	Simulated
0.125	Simulated
0	Simulated
0	Simulated
0.125	Simulated
0	Simulated
0	Simulated
0.125	Simulated
0	Simulated
0.25	Simulated
0	Simulated
0.125	Simulated
0	Simulated
0	Simulated
0.125	Simulated
0.125	Simulated
0.125	Simulated
0	Simulated
0	Simulated
0	Simulated
0.125	Simulated
0.125	Simulated
0	Simulated
0.125	Simulated
0.125	Simulated
0	Simulated
0	Simulated
0	Simulated
0.25	Simulated
0.125	Simulated
0	Simulated
0	Simulated
0	Simulated
0	Simulated
0	Simulated
0.25	Simulated
0.25	Simulated
0.25	Simulated
0.5	Simulated
0	Simulated
0.25	Simulated
0	Simulated
0.125	Simulated
0	Simulated
0	Simulated
0	Simulated
0	Simulated
0	Simulated
0.375	Simulated
0	Simulated
0	Simulated
0	Simulated
0.25	Simulated
0	Simulated
0	Simulated
0	Simulated
0.25	Simulated
0	Simulated
0.25	Simulated
0	Simulated
0.125	Simulated
0	Simulated
0.125	Simulated
0.125	Simulated
0	Simulated
0	Simulated
0	Simulated
0	Simulated
0.375	Simulated
0	Simulated
0.25	Simulated
0	Simulated
0.125	Simulated
0.125	Simulated
0.125	Simulated
0.25	Simulated
0	Simulated
0.125	Simulated
0.25	Simulated
0	Simulated
0.125	Simulated
0.125	Simulated
0	Simulated
0.125	Simulated
0.125	Simulated
0	Simulated
0.375	Simulated
0.25	Simulated
0	Simulated
0.125	Simulated
0	Simulated
0.125	Simulated
0	Simulated
0.125	Simulated
0	Simulated
0	Simulated
0.25	Simulated
0.125	Simulated
0.125	Simulated
0.125	Simulated
0.125	Simulated
0.25	Simulated
0	Simulated
0	Simulated
0	Simulated
0.125	Simulated
0	Simulated
0.125	Simulated
0.125	Simulated
0.125	Simulated
0	Simulated
0.25	Simulated
0	Simulated
0	Simulated
0.125	Simulated
0.125	Simulated
0	Simulated
0.125	Simulated
0	Simulated
0	Simulated
0.375	Simulated
0	Simulated
0.125	Simulated
0.125	Simulated
0.25	Simulated
0	Simulated
0.25	Simulated
0.125	Simulated
0	Simulated
0	Simulated
0.125	Simulated
0.375	Simulated
0	Simulated
0.125	Simulated
0	Simulated
0	Simulated
0	Simulated
0	Simulated
0	Simulated
0.125	Simulated
0	Simulated
0	Simulated
0	Simulated
0.125	Simulated
0	Simulated
0.125	Simulated
0.25	Simulated
0.125	Simulated
0	Simulated
0.125	Simulated
0.25	Simulated
0.25	Simulated
0	Simulated
0.125	Simulated
0.25	Simulated
0.125	Simulated
0.125	Simulated
0.125	Simulated
0.25	Simulated
0.125	Simulated
0.125	Simulated
0	Simulated
0	Simulated
0	Simulated
0	Simulated
0.125	Simulated
0	Simulated
0	Simulated
